id,nome,matricula,ano
01,antonio,2411512,2015
02,beto,403543,2016
03,alves,320957,2015
04,lucas,49083565,2016
05,leandro,9328947,2015
06,robens,403543,2016
07,quentin,5607666,2014
08,olavio,09606860,2016
09,elvis,730295934,2015
10,dolabella,02909,2016
11,hitoshura,2499494,2014
12,Vincente,787555,2014
13,hermetica,4343566,2015
14,vitor,02909,2014
15,hugo,2499494,2014
16,matias,787555,2016
17,hermes,4343566,2015
18,dolabella,02909,2014
19,hitoshura,2499494,2014
20,beto,787555,2014
21,antonio,4343566,2014
01,antonio,,2015
02,,403543,2016
03,,320957,2015
04,lucas,49083565,2016
05,,9328947,2015
06,robens,,2016
07,quentin,5607666,
08,olavio,,2016
09,elvis,,2015
10,dolabella,,
11,,2499494,2014
12,Vincente,,
,,,
,vitor,,2014
15,,2499494,2014
,matias,,2016
17,hermes,,
18,dolabella,02909,
19,,2499494,
20,beto,,2014
,,4343566,
